,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0, 11520.0, 22620.0, 17760.0, 10849.4739, 11520.0, 22580.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0, 7200.0, 18400.0, 11840.0, 20969.4727, 7200.0, 18460.0]",295.6121826171875
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0, 11520.0, 22620.0, 17760.0, 10849.4739, 11520.0, 22580.0, 21760.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0, 7200.0, 18400.0, 11840.0, 20969.4727, 7200.0, 18460.0, 11160.0]",5.656954288482666
""
13.215967416763306,X Postion,Y Postion,Radius
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0, 11520.0, 22620.0, 17760.0, 10849.4739, 11520.0, 22580.0, 21760.0, 10920.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0, 7200.0, 18400.0, 11840.0, 20969.4727, 7200.0, 18460.0, 11160.0, 20960.0]",5.656954288482666
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0, 11520.0, 22620.0, 17760.0, 10849.4739, 11520.0, 22580.0, 21760.0, 10920.0, 11500.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0, 7200.0, 18400.0, 11840.0, 20969.4727, 7200.0, 18460.0, 11160.0, 20960.0, 7240.0]",17.356653213500977
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0, 11520.0, 22620.0, 17760.0, 10849.4739, 11520.0, 22580.0, 21760.0, 10920.0, 11500.0, 22580.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0, 7200.0, 18400.0, 11840.0, 20969.4727, 7200.0, 18460.0, 11160.0, 20960.0, 7240.0, 18340.0]",296.3993225097656
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0, 11520.0, 22620.0, 17760.0, 10849.4739, 11520.0, 22580.0, 21760.0, 10920.0, 11500.0, 22580.0, 26060.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0, 7200.0, 18400.0, 11840.0, 20969.4727, 7200.0, 18460.0, 11160.0, 20960.0, 7240.0, 18340.0, 10320.0]",6.726912021636963
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0, 11520.0, 22620.0, 17760.0, 10849.4739, 11520.0, 22580.0, 21760.0, 10920.0, 11500.0, 22580.0, 26060.0, 28060.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0, 7200.0, 18400.0, 11840.0, 20969.4727, 7200.0, 18460.0, 11160.0, 20960.0, 7240.0, 18340.0, 10320.0, 10660.0]",7.106435298919678
""
14.737459421157837,X Postion,Y Postion,Radius
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0, 11520.0, 22620.0, 17760.0, 10849.4739, 11520.0, 22580.0, 21760.0, 10920.0, 11500.0, 22580.0, 26060.0, 28060.0, 10820.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0, 7200.0, 18400.0, 11840.0, 20969.4727, 7200.0, 18460.0, 11160.0, 20960.0, 7240.0, 18340.0, 10320.0, 10660.0, 20980.0]",7.905794143676758
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0, 11520.0, 22620.0, 17760.0, 10849.4739, 11520.0, 22580.0, 21760.0, 10920.0, 11500.0, 22580.0, 26060.0, 28060.0, 10820.0, 11400.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0, 7200.0, 18400.0, 11840.0, 20969.4727, 7200.0, 18460.0, 11160.0, 20960.0, 7240.0, 18340.0, 10320.0, 10660.0, 20980.0, 7340.0]",25.869966506958008
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0, 11520.0, 22620.0, 17760.0, 10849.4739, 11520.0, 22580.0, 21760.0, 10920.0, 11500.0, 22580.0, 26060.0, 28060.0, 10820.0, 11400.0, 22640.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0, 7200.0, 18400.0, 11840.0, 20969.4727, 7200.0, 18460.0, 11160.0, 20960.0, 7240.0, 18340.0, 10320.0, 10660.0, 20980.0, 7340.0, 18140.0]",301.1283874511719
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0, 11520.0, 22620.0, 17760.0, 10849.4739, 11520.0, 22580.0, 21760.0, 10920.0, 11500.0, 22580.0, 26060.0, 28060.0, 10820.0, 11400.0, 22640.0, 23080.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0, 7200.0, 18400.0, 11840.0, 20969.4727, 7200.0, 18460.0, 11160.0, 20960.0, 7240.0, 18340.0, 10320.0, 10660.0, 20980.0, 7340.0, 18140.0, 10920.0]",5.656954288482666
""
20.184730052947998,X Postion,Y Postion,Radius
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0, 11520.0, 22620.0, 17760.0, 10849.4739, 11520.0, 22580.0, 21760.0, 10920.0, 11500.0, 22580.0, 26060.0, 28060.0, 10820.0, 11400.0, 22640.0, 23080.0, 8880.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0, 7200.0, 18400.0, 11840.0, 20969.4727, 7200.0, 18460.0, 11160.0, 20960.0, 7240.0, 18340.0, 10320.0, 10660.0, 20980.0, 7340.0, 18140.0, 10920.0, 26740.0]",6.020897388458252
,"[10840.0, 11360.0, 22600.0, 29080.0, 10860.0, 11540.0, 22540.0, 18420.0, 10860.0, 11700.0, 22580.0, 14560.0, 29020.0, 11620.0, 22540.0, 27040.0, 10820.0, 11580.0, 22565.5664, 26520.0, 27100.0, 29400.0, 30000.0, 11520.0, 22620.0, 17760.0, 10849.4739, 11520.0, 22580.0, 21760.0, 10920.0, 11500.0, 22580.0, 26060.0, 28060.0, 10820.0, 11400.0, 22640.0, 23080.0, 8880.0, 10820.0]","[20900.0, 7340.0, 18260.0, 9880.0, 20920.0, 7160.0, 18160.0, 11080.0, 20900.0, 6960.0, 18360.0, 12700.0, 9960.0, 7080.0, 18080.0, 11120.0, 20920.0, 7140.0, 19489.9756, 10940.0, 10920.0, 10840.0, 10640.0, 7200.0, 18400.0, 11840.0, 20969.4727, 7200.0, 18460.0, 11160.0, 20960.0, 7240.0, 18340.0, 10320.0, 10660.0, 20980.0, 7340.0, 18140.0, 10920.0, 26740.0, 20960.0]",6.800835609436035
